electron_density_m3,freq_ghz,transmission_coefficient
5e+17,30.175,1.0
5e+17,30.376,1.0
5e+17,30.576,1.0
5e+17,30.777,1.0
5e+17,30.977,1.0
5e+17,31.178,1.0
5e+17,31.378,1.0
5e+17,31.579,1.0
5e+17,31.779,1.0
5e+17,31.98,1.0
5e+17,32.18,1.0
5e+17,32.381,1.0
5e+17,32.581,1.0
5e+17,32.782,1.0
5e+17,32.982,1.0
5e+17,33.183,1.0
5e+17,33.383,1.0
5e+17,33.584,1.0
5e+17,33.784,1.0
5e+17,33.985,1.0
5e+17,34.185,1.0
5e+17,34.386,1.0
5e+17,34.586,1.0
5e+17,34.787,1.0
5e+17,34.987,1.0
5e+17,35.188,1.0
5e+17,35.388,1.0
5e+17,35.589,1.0
5e+17,35.789,1.0
5e+17,35.99,1.0
5e+17,36.19,1.0
5e+17,36.391,1.0
5e+17,36.591,1.0
5e+17,36.792,1.0
5e+17,36.992,1.0
5e+17,37.193,1.0
5e+17,37.393,1.0
5e+17,37.594,1.0
5e+17,37.794,1.0
5e+17,37.995,1.0
5e+17,38.195,1.0
5e+17,38.396,1.0
5e+17,38.596,1.0
5e+17,38.797,1.0
5e+17,38.997,1.0
5e+17,39.198,1.0
5e+17,39.398,1.0
5e+17,39.599,1.0
5e+17,39.799,1.0
5e+17,40.0,1.0
1e+18,0.1,0.0
1e+18,0.301,0.0
1e+18,0.501,0.0
1e+18,0.702,0.0
1e+18,0.902,0.0
1e+18,1.103,0.0
1e+18,1.303,0.0
1e+18,1.504,0.0
1e+18,1.704,0.0
1e+18,1.905,0.0
1e+18,2.105,0.0
1e+18,2.306,0.0
1e+18,2.506,0.0
1e+18,2.707,0.0
1e+18,2.907,0.0
1e+18,3.108,0.0
1e+18,3.308,0.0
1e+18,3.509,0.0
1e+18,3.709,0.0
1e+18,3.91,0.0
1e+18,4.11,0.0
1e+18,4.311,0.0
1e+18,4.511,0.0
1e+18,4.712,0.0
1e+18,4.912,0.0
1e+18,5.113,0.0
1e+18,5.313,0.0
1e+18,5.514,0.0
1e+18,5.714,0.0
1e+18,5.915,0.0
1e+18,6.115,0.0
1e+18,6.316,0.0
1e+18,6.516,0.0
1e+18,6.717,0.0
1e+18,6.917,0.0
1e+18,7.118,0.0
1e+18,7.318,0.0
1e+18,7.519,0.0
1e+18,7.719,0.0
1e+18,7.92,0.0
1e+18,8.12,0.0
1e+18,8.321,0.0
1e+18,8.521,0.0
1e+18,8.722,0.0
1e+18,8.922,0.0
1e+18,9.123,0.03518
1e+18,9.323,0.08118
1e+18,9.524,0.12819
1e+18,9.724,0.17619
1e+18,9.925,0.2252
1e+18,10.125,0.2752
1e+18,10.326,0.3262
1e+18,10.526,0.37821
1e+18,10.727,0.43121
1e+18,10.927,0.48522
1e+18,11.128,0.54022
1e+18,11.328,0.59623
1e+18,11.529,0.65323
1e+18,11.729,0.71124
1e+18,11.93,0.77024
1e+18,12.13,0.83025
1e+18,12.331,0.89125
1e+18,12.531,0.95326
1e+18,12.732,1.0
1e+18,12.932,1.0
1e+18,13.133,1.0
1e+18,13.333,1.0
1e+18,13.534,1.0
1e+18,13.734,1.0
1e+18,13.935,1.0
1e+18,14.135,1.0
1e+18,14.336,1.0
1e+18,14.536,1.0
1e+18,14.737,1.0
1e+18,14.937,1.0
1e+18,15.138,1.0
1e+18,15.338,1.0
1e+18,15.539,1.0
1e+18,15.739,1.0
1e+18,15.94,1.0
1e+18,16.14,1.0
1e+18,16.341,1.0
1e+18,16.541,1.0
1e+18,16.742,1.0
1e+18,16.942,1.0
1e+18,17.143,1.0
1e+18,17.343,1.0
1e+18,17.544,1.0
1e+18,17.744,1.0
1e+18,17.945,1.0
1e+18,18.145,1.0
1e+18,18.346,1.0
1e+18,18.546,1.0
1e+18,18.747,1.0
1e+18,18.947,1.0
1e+18,19.148,1.0
1e+18,19.348,1.0
1e+18,19.549,1.0
1e+18,19.749,1.0
1e+18,19.95,1.0
1e+18,20.15,1.0
1e+18,20.351,1.0
1e+18,20.551,1.0
1e+18,20.752,1.0
1e+18,20.952,1.0
1e+18,21.153,1.0
1e+18,21.353,1.0
1e+18,21.554,1.0
1e+18,21.754,1.0
1e+18,21.955,1.0
1e+18,22.155,1.0
1e+18,22.356,1.0
1e+18,22.556,1.0
1e+18,22.757,1.0
1e+18,22.957,1.0
1e+18,23.158,1.0
1e+18,23.358,1.0
1e+18,23.559,1.0
1e+18,23.759,1.0
1e+18,23.96,1.0
1e+18,24.16,1.0
1e+18,24.361,1.0
1e+18,24.561,1.0
1e+18,24.762,1.0
1e+18,24.962,1.0
1e+18,25.163,1.0
1e+18,25.363,1.0
1e+18,25.564,1.0
1e+18,25.764,1.0
1e+18,25.965,1.0
1e+18,26.165,1.0
1e+18,26.366,1.0
1e+18,26.566,1.0
1e+18,26.767,1.0
1e+18,26.967,1.0
1e+18,27.168,1.0
1e+18,27.368,1.0
1e+18,27.569,1.0
1e+18,27.769,1.0
1e+18,27.97,1.0
1e+18,28.17,1.0
1e+18,28.371,1.0
1e+18,28.571,1.0
1e+18,28.772,1.0
1e+18,28.972,1.0
1e+18,29.173,1.0
1e+18,29.373,1.0
1e+18,29.574,1.0
1e+18,29.774,1.0
1e+18,29.975,1.0
1e+18,30.175,1.0
1e+18,30.376,1.0
1e+18,30.576,1.0
1e+18,30.777,1.0
1e+18,30.977,1.0
1e+18,31.178,1.0
1e+18,31.378,1.0
1e+18,31.579,1.0
1e+18,31.779,1.0
1e+18,31.98,1.0
1e+18,32.18,1.0
1e+18,32.381,1.0
1e+18,32.581,1.0
1e+18,32.782,1.0
1e+18,32.982,1.0
1e+18,33.183,1.0
1e+18,33.383,1.0
1e+18,33.584,1.0
1e+18,33.784,1.0
1e+18,33.985,1.0
1e+18,34.185,1.0
1e+18,34.386,1.0
1e+18,34.586,1.0
1e+18,34.787,1.0
1e+18,34.987,1.0
1e+18,35.188,1.0
1e+18,35.388,1.0
1e+18,35.589,1.0
1e+18,35.789,1.0
1e+18,35.99,1.0
1e+18,36.19,1.0
1e+18,36.391,1.0
1e+18,36.591,1.0
1e+18,36.792,1.0
1e+18,36.992,1.0
1e+18,37.193,1.0
1e+18,37.393,1.0
1e+18,37.594,1.0
1e+18,37.794,1.0
1e+18,37.995,1.0
1e+18,38.195,1.0
1e+18,38.396,1.0
1e+18,38.596,1.0
1e+18,38.797,1.0
1e+18,38.997,1.0
1e+18,39.198,1.0
1e+18,39.398,1.0
1e+18,39.599,1.0
1e+18,39.799,1.0
1e+18,40.0,1.0
5e+18,0.1,0.0
